"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R4,R3";"R_0805_2012Metric";2;"5k1";;;
2;"R25,R24";"R_0805_2012Metric";2;"4k7";;;
3;"R14,R18,R8,R10,R7,R9";"R_0805_2012Metric";6;"470";;;
4;"C19,C11,C6,C22,C21";"C_0805_2012Metric";5;"1uF";;;
5;"R29,R27";"R_0805_2012Metric";2;"1M";;;
6;"MK1";"CUI_CMC-5042PF-AC";1;"CMC-5042PF-AC";;;
7;"J3";"AMPHENOL_GSD090012SEU";1;"GSD090012SEU";;;
8;"TP4";"TestPoint_Pad_D1.0mm";1;"TestCS_DS";;;
9;"D3";"DIOC200X125X110";1;"LTST-C170TBKT";;;
10;"S2";"SW_USLPT2819DT2TR";1;"Reset";;;
11;"R26,R28,R5";"R_0805_2012Metric";3;"2k";;;
12;"U2";"PSON65P250X250X100-8N";1;"BME280";;;
13;"U3";"MODULE_ESP32-C3-WROOM-02-H4";1;"ESP32-C3-WROOM-02-H4";;;
14;"TP3";"TestPoint_Pad_D1.0mm";1;"TestSCLK";;;
15;"C1,C15,C5,C14,C16,C13,C2,C10,C8,C20";"C_0805_2012Metric";10;"0.1uF";;;
16;"VR1";"VREG_LM1117MPX-3.3";1;"LM1117MPX-3.3";;;
17;"U4";"SiliconLabs_QFN-20-1EP_3x3mm_P0.5mm_EP1.8x1.8mm";1;"CP2102N-Axx-xQFN20";;;
18;"Q2,Q3";"SOT-23";2;"BC817";;;
19;"R11";"R_0805_2012Metric";1;"1k";;;
20;"R32";"R_0805_2012Metric";1;"R";;;
21;"U1";"QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm";1;"MCP73871";;;
22;"R15,R22,R16,R20";"R_0805_2012Metric";4;"50";;;
23;"R19,R1,R2,R30,R34,R33,R23";"R_0805_2012Metric";7;"10k";;;
24;"C4,C7,C3,C12";"CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder";4;"10uF";;;
25;"LED 5,LED 4,D1";"DIOC200X125X110R";3;"LTST-C170KRKT";;;
26;"R31";"R_0805_2012Metric";1;"100k";;;
27;"C9";"CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder";1;"4.7uF";;;
28;"J2";"JST_B2B-PH-SM4-TB";1;"B2B-PH-SM4-TB";;;
29;"J5";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05_Pin";;;
30;"J1";"BELFUSE_SS-52400-003";1;"SS-52400-003";;;
31;"F1";"FUSC3225X100N";1;"0ZCH0110AF2E";;;
32;"R12";"R_0805_2012Metric";1;"22k1";;;
33;"U6";"SOIC127P790X216-8N";1;"W25Q32JVSSIQ";;;
34;"TP5";"TestPoint_Pad_D1.0mm";1;"TestCS";;;
35;"LED 6,D2";"LED_LTST-C170GKT";2;"LTST-C170GKT";;;
36;"U5";"SOT-23-6";1;"USBLC6-2SC6";;;
37;"C17";"C_0805_2012Metric";1;"10n";;;
38;"U7";"SOT65P210X110-5N";1;"MAX4466EXK";;;
39;"J4";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_Pin";;;
40;"C18";"C_0805_2012Metric";1;"C";;;
41;"S1";"SW_USLPT2819DT2TR";1;"Boot";;;
42;"TP1";"TestPoint_Pad_D1.0mm";1;"TestMOSI";;;
43;"R13";"R_0805_2012Metric";1;"47k5";;;
44;"R6";"R_0805_2012Metric";1;"20k";;;
45;"Q1";"TRANS_TEMT6000X01";1;"TEMT6000X01";;;
46;"TP2";"TestPoint_Pad_D1.0mm";1;"TestMISO";;;
